Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,AC Coupled,DC Coupled,DC Tightly Coupled,Independent,Direct Support of Another Unit,Direct Support Plant ID 1,Direct Support Gen ID 1,Direct Support Plant ID 2,Direct Support Gen ID 2,Direct Support Plant ID 3,Direct Support Gen ID 3,Support T&D Asset
65486,"Buena Vista Energy Center, LLC",66408,Buena Vista Energy Center,NM,Otero,BESS1,OP,Batteries,BA,IPP Non-CHP,2,50,50,50,6,2023,400,50,50,LIB,,,,16.4,CS,,,,,,,,,,,PR,,Y,,,Y,66408,BVEC1, ,, ,,Y
20323,"Wellhead Services, Inc",66423,Stanton Battery Energy Storage,CA,Orange,BESS1,OP,Batteries,BA,IPP Non-CHP,2,68.8,68.8,68.8,11,2023,275.2,68.8,68.8,LIB,,,,21.5,CS,PR,Y,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65504,"Catalyze Blackstone 83 Federal Street Microgrid, LLC",66474,MA Blackstone,MA,Worcester,B8170,OP,Batteries,BA,IPP Non-CHP,2,3,3,3,7,2022,6.4,2,2,LIB,,,,1,CS,PR,,,,,,,,,,Y,,Y,,,Y,66474,18170, ,, ,,N
61194,Generate Capital,66488,Davis Solar,NY,Orange,BAT,OP,Batteries,BA,IPP Non-CHP,2,2,2,2,10,2023,4,2,2,LIB,,,,0.6,CS,,,,,,,PR,,,,Y,,,,,N, ,, ,, ,,N
61978,Convergent Energy and Power LP,66499,Federalsburg Energy Storage 1 LLC,MD,Caroline,FDBA1,OP,Batteries,BA,IPP Non-CHP,2,1.2,1.2,1.2,11,2021,2.4,1.2,1.2,LIB,,,,1.2,CT,,,,,PR,,Y,,,,Y,,Y,,,Y,66499,FDPV1, ,, ,,N
65552,Terra-Gen Operating Co-BESS 2,66500,Valley Center 85,CA,San Diego,VC85,OP,Batteries,BA,IPP Non-CHP,2,85,85,85,12,2021,212,85,85,LIB,,,,85,CS,PR,Y,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
61978,Convergent Energy and Power LP,66501,Cicero Energy Storage 1 LLC,NY,Onondaga,CCBA1,OP,Batteries,BA,IPP Non-CHP,2,5,5,5,3,2022,20,5,5,LIB,,,,5,CS,,,,,PR,Y,Y,,,,Y,,Y,,,Y,66501,CCPV1, ,, ,,N
65552,Terra-Gen Operating Co-BESS 2,66502,Valley Center 54,CA,San Diego,VC54,OP,Batteries,BA,IPP Non-CHP,2,54,54,54,11,2021,216,54,54,LIB,,,,54,CS,PR,Y,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
61978,Convergent Energy and Power LP,66503,Cicero Energy Storage 2 LLC,NY,Onondaga,CCBA2,OP,Batteries,BA,IPP Non-CHP,2,5,5,5,3,2022,20,5,5,LIB,,,,5,CS,,,,,PR,Y,Y,,,,Y,,Y,,,Y,66503,CCPV2, ,, ,,N
65534,Bright Canyon Energy,66532,BCE Los Alamitos 2,CA,Orange,BCE22,OP,Batteries,BA,IPP Non-CHP,2,10,10,10,8,2023,2.9,10,10,LIB,,,,0.1,CS,,,,,,,,,,,PR,Y,,,,Y,66532,BCE21, ,, ,,N
